ID,brand,model,formFactor,socket,ddr,price,wattage,status
110,ASRock,X670E PG Lightning,ATX,AM5,DDR5,"19,500",90,TRUE
111,Asus,ROG Crosshair X670E Hero,ATX,AM5,DDR5,"28,500",100,TRUE
112,MSI,MAG Z690 Tomahawk WiFi,ATX,LGA 1700,DDR5,"18,000",80,TRUE
113,Gigabyte,B650E Aorus Master,ATX,AM5,DDR5,"22,000",85,TRUE
114,ASRock,Z790 LiveMixer,ATX,LGA 1700,DDR5,"20,500",90,TRUE
115,Asus,ROG Strix Z690-I Gaming WiFi,mITX,LGA 1700,DDR5,"17,500",80,TRUE
116,MSI,MEG Z690I Unify,mITX,LGA 1700,DDR5,"19,000",85,TRUE
117,Gigabyte,X670I Aorus Ultra,mITX,AM5,DDR5,"21,000",85,TRUE
118,ASRock,Z690 Phantom Gaming-ITX/TB4,mITX,LGA 1700,DDR5,"16,500",75,TRUE
119,Asus,TUF Gaming B660M-PLUS WiFi,mATX,LGA 1700,DDR5,"13,500",75,TRUE
